Quote ID: 638, Asset Name: Trollcoin, Asset Symbol: TROLL
Quote ID: 644, Asset Name: GlobalBoost-Y, Asset Symbol: BSTY
Quote ID: 656, Asset Name: Prime-XI, Asset Symbol: PXI
Quote ID: 659, Asset Name: Bitswift, Asset Symbol: BITS
Quote ID: 693, Asset Name: Verge, Asset Symbol: XVG
Quote ID: 702, Asset Name: SpreadCoin, Asset Symbol: SPR
Quote ID: 703, Asset Name: Rimbit, Asset Symbol: RBT
Quote ID: 707, Asset Name: Blocknet, Asset Symbol: BLOCK
Quote ID: 720, Asset Name: Crown, Asset Symbol: CRW
Quote ID: 730, Asset Name: GCN Coin, Asset Symbol: GCN
Quote ID: 733, Asset Name: Quotient, Asset Symbol: XQN
Quote ID: 760, Asset Name: Okcash, Asset Symbol: OK
Quote ID: 764, Asset Name: PayCoin, Asset Symbol: XPY
Quote ID: 789, Asset Name: Nexus, Asset Symbol: NXS
Quote ID: 799, Asset Name: SmileyCoin, Asset Symbol: SMLY
Quote ID: 815, Asset Name: Kobocoin, Asset Symbol: KOBO
Quote ID: 819, Asset Name: Bean Cash, Asset Symbol: BITB
Quote ID: 825, Asset Name: Tether, Asset Symbol: USDT
Quote ID: 831, Asset Name: Wild Beast Block, Asset Symbol: WBB
Quote ID: 833, Asset Name: Gridcoin, Asset Symbol: GRC
Quote ID: 837, Asset Name: X-Coin, Asset Symbol: XCO
Quote ID: 853, Asset Name: LiteDoge, Asset Symbol: LDOGE
Quote ID: 857, Asset Name: SongCoin, Asset Symbol: SONG
Quote ID: 859, Asset Name: Woodcoin, Asset Symbol: LOG
Quote ID: 873, Asset Name: NEM, Asset Symbol: XEM
Quote ID: 894, Asset Name: Neutron, Asset Symbol: NTRN
Quote ID: 895, Asset Name: Xaurum, Asset Symbol: XAUR
Quote ID: 898, Asset Name: Californium, Asset Symbol: CF
Quote ID: 911, Asset Name: Advanced Internet Blocks, Asset Symbol: AIB
Quote ID: 916, Asset Name: MedicCoin, Asset Symbol: MEDIC
Quote ID: 918, Asset Name: Bubble, Asset Symbol: BUB
Quote ID: 921, Asset Name: Universal Currency, Asset Symbol: UNIT
Quote ID: 934, Asset Name: ParkByte, Asset Symbol: PKB
Quote ID: 938, Asset Name: ARbit, Asset Symbol: ARB
Quote ID: 945, Asset Name: Bata, Asset Symbol: BTA
Quote ID: 948, Asset Name: AudioCoin, Asset Symbol: ADC
Quote ID: 951, Asset Name: Synergy, Asset Symbol: SNRG
Quote ID: 978, Asset Name: Ratecoin, Asset Symbol: XRA
Quote ID: 986, Asset Name: CrevaCoin, Asset Symbol: CREVA
Quote ID: 993, Asset Name: BowsCoin, Asset Symbol: BSC
Quote ID: 1004, Asset Name: HNC COIN, Asset Symbol: HNC
Quote ID: 1019, Asset Name: Manna, Asset Symbol: MANNA
Quote ID: 1020, Asset Name: Axiom, Asset Symbol: AXIOM
Quote ID: 1026, Asset Name: Aeon, Asset Symbol: AEON
Quote ID: 1027, Asset Name: Ethereum, Asset Symbol: ETH
Quote ID: 1032, Asset Name: TransferCoin, Asset Symbol: TX
Quote ID: 1033, Asset Name: GuccioneCoin, Asset Symbol: GCC
Quote ID: 1035, Asset Name: AmsterdamCoin, Asset Symbol: AMS
Quote ID: 1037, Asset Name: Agoras: Currency of Tau, Asset Symbol: AGRS
Quote ID: 1038, Asset Name: Eurocoin, Asset Symbol: EUC
Quote ID: 1042, Asset Name: Siacoin, Asset Symbol: SC
Quote ID: 1044, Asset Name: Global Currency Reserve, Asset Symbol: GCR
Quote ID: 1052, Asset Name: VectorAI, Asset Symbol: VEC2
Quote ID: 1053, Asset Name: Bolivarcoin, Asset Symbol: BOLI
Quote ID: 1066, Asset Name: Pakcoin, Asset Symbol: PAK
Quote ID: 1070, Asset Name: Expanse, Asset Symbol: EXP
Quote ID: 1082, Asset Name: SIBCoin, Asset Symbol: SIB
Quote ID: 1085, Asset Name: Swing, Asset Symbol: SWING
Quote ID: 1087, Asset Name: Factom, Asset Symbol: FCT
Quote ID: 1090, Asset Name: Save and Gain, Asset Symbol: SANDG
Quote ID: 1104, Asset Name: Augur, Asset Symbol: REP
Quote ID: 1106, Asset Name: StrongHands, Asset Symbol: SHND
Quote ID: 1107, Asset Name: PAC Protocol, Asset Symbol: PAC
Quote ID: 1120, Asset Name: DraftCoin, Asset Symbol: DFT
Quote ID: 1135, Asset Name: ClubCoin, Asset Symbol: CLUB
Quote ID: 1136, Asset Name: Adzcoin, Asset Symbol: ADZ
Quote ID: 1146, Asset Name: AvatarCoin, Asset Symbol: AV
Quote ID: 1154, Asset Name: Validity, Asset Symbol: VAL
Quote ID: 1155, Asset Name: Litecred, Asset Symbol: LTCR
Quote ID: 1156, Asset Name: Yocoin, Asset Symbol: YOC
Quote ID: 1159, Asset Name: SaluS, Asset Symbol: SLS
Quote ID: 1164, Asset Name: Francs, Asset Symbol: FRN
Quote ID: 1165, Asset Name: Evil Coin, Asset Symbol: EVIL
Quote ID: 1168, Asset Name: Decred, Asset Symbol: DCR
Quote ID: 1169, Asset Name: PIVX, Asset Symbol: PIVX
Quote ID: 1172, Asset Name: Safex Token, Asset Symbol: SFT
Quote ID: 1175, Asset Name: Rubies, Asset Symbol: RBIES
Quote ID: 1185, Asset Name: FreedomCoin, Asset Symbol: FREED
Quote ID: 1191, Asset Name: Memetic / PepeCoin, Asset Symbol: MEME
Quote ID: 1194, Asset Name: Independent Money System, Asset Symbol: IMS
Quote ID: 1200, Asset Name: NevaCoin, Asset Symbol: NEVA
Quote ID: 1209, Asset Name: PosEx, Asset Symbol: PEX
Quote ID: 1210, Asset Name: Cabbage, Asset Symbol: CAB
Quote ID: 1212, Asset Name: MojoCoin, Asset Symbol: MOJO
Quote ID: 1214, Asset Name: Lisk, Asset Symbol: LSK
Quote ID: 1216, Asset Name: EDRCoin, Asset Symbol: EDRC
Quote ID: 1218, Asset Name: PostCoin, Asset Symbol: POST
Quote ID: 1223, Asset Name: BERNcash, Asset Symbol: BERN
Quote ID: 1229, Asset Name: DigixDAO, Asset Symbol: DGD
Quote ID: 1230, Asset Name: Steem, Asset Symbol: STEEM
Quote ID: 1238, Asset Name: Espers, Asset Symbol: ESP
Quote ID: 1241, Asset Name: FuzzBalls, Asset Symbol: FUZZ
Quote ID: 1244, Asset Name: HiCoin, Asset Symbol: XHI
Quote ID: 1247, Asset Name: AquariusCoin, Asset Symbol: ARCO
Quote ID: 1248, Asset Name: Bitcoin 21, Asset Symbol: XBTC21
Quote ID: 1250, Asset Name: Zurcoin, Asset Symbol: ZUR
Quote ID: 1252, Asset Name: 2GIVE, Asset Symbol: 2GIVE
Quote ID: 1254, Asset Name: PlatinumBAR, Asset Symbol: XPTX
Quote ID: 1257, Asset Name: LanaCoin, Asset Symbol: LANA
Quote ID: 1259, Asset Name: PonziCoin, Asset Symbol: PONZI
Quote ID: 1273, Asset Name: Citadel, Asset Symbol: CTL
Quote ID: 1274, Asset Name: Waves, Asset Symbol: WAVES
Quote ID: 1279, Asset Name: PWR Coin, Asset Symbol: PWR
Quote ID: 1281, Asset Name: ION, Asset Symbol: ION
Quote ID: 1282, Asset Name: High Voltage, Asset Symbol: HVCO
Quote ID: 1285, Asset Name: GoldBlocks, Asset Symbol: GB
Quote ID: 1291, Asset Name: Comet, Asset Symbol: CMT
Quote ID: 1294, Asset Name: Rise, Asset Symbol: RISE
Quote ID: 1297, Asset Name: ChessCoin, Asset Symbol: CHESS
Quote ID: 1298, Asset Name: LBRY Credits, Asset Symbol: LBC
Quote ID: 1299, Asset Name: PUTinCoin, Asset Symbol: PUT
Quote ID: 1306, Asset Name: Cryptojacks, Asset Symbol: CJ
Quote ID: 1312, Asset Name: Steem Dollars, Asset Symbol: SBD
Quote ID: 1320, Asset Name: Ardor, Asset Symbol: ARDR
Quote ID: 1321, Asset Name: Ethereum Classic, Asset Symbol: ETC
Quote ID: 1340, Asset Name: Karbo, Asset Symbol: KRB
Quote ID: 1343, Asset Name: Stratis, Asset Symbol: STRAX
Quote ID: 1351, Asset Name: Aces, Asset Symbol: ACES
Quote ID: 1353, Asset Name: TajCoin, Asset Symbol: TAJ
Quote ID: 1368, Asset Name: Veltor, Asset Symbol: VLT
Quote ID: 1376, Asset Name: Neo, Asset Symbol: NEO
Quote ID: 1382, Asset Name: NoLimitCoin, Asset Symbol: NLC
Quote ID: 1389, Asset Name: Zayedcoin, Asset Symbol: ZYD
Quote ID: 1395, Asset Name: Dollarcoin, Asset Symbol: DLC
Quote ID: 1396, Asset Name: MustangCoin, Asset Symbol: MST
Quote ID: 1414, Asset Name: Firo, Asset Symbol: FIRO
Quote ID: 1437, Asset Name: Zcash, Asset Symbol: ZEC
Quote ID: 1439, Asset Name: AllSafe, Asset Symbol: ASAFE
Quote ID: 1447, Asset Name: ZClassic, Asset Symbol: ZCL
Quote ID: 1455, Asset Name: Golem, Asset Symbol: GLM
Quote ID: 1466, Asset Name: Hush, Asset Symbol: HUSH
Quote ID: 1468, Asset Name: Kurrent, Asset Symbol: KURT
Quote ID: 1473, Asset Name: Pascal, Asset Symbol: PASC
Quote ID: 1474, Asset Name: Eternity, Asset Symbol: ENT
Quote ID: 1492, Asset Name: Obyte, Asset Symbol: GBYTE
Quote ID: 1495, Asset Name: PoSW Coin, Asset Symbol: POSW
Quote ID: 1500, Asset Name: Wings, Asset Symbol: WINGS
Quote ID: 1503, Asset Name: Jupiter, Asset Symbol: JUP
Quote ID: 1505, Asset Name: Alias, Asset Symbol: ALIAS
Quote ID: 1511, Asset Name: PureVidz, Asset Symbol: VIDZ
Quote ID: 1514, Asset Name: ICOBID, Asset Symbol: ICOB
Quote ID: 1515, Asset Name: iBank, Asset Symbol: IBANK
Quote ID: 1518, Asset Name: Maker, Asset Symbol: MKR
Quote ID: 1521, Asset Name: Komodo, Asset Symbol: KMD
Quote ID: 1522, Asset Name: FirstCoin, Asset Symbol: FRST
Quote ID: 1528, Asset Name: Iconic, Asset Symbol: ICON
Quote ID: 1546, Asset Name: Centurion, Asset Symbol: CNT
Quote ID: 1552, Asset Name: Enzyme, Asset Symbol: MLN
Quote ID: 1556, Asset Name: Chrono.tech, Asset Symbol: TIME
Quote ID: 1558, Asset Name: Argus, Asset Symbol: ARGUS
Quote ID: 1562, Asset Name: Swarm City, Asset Symbol: SWT
Quote ID: 1567, Asset Name: Nano, Asset Symbol: XNO
Quote ID: 1578, Asset Name: Zero, Asset Symbol: ZER
Quote ID: 1582, Asset Name: Netko, Asset Symbol: NETKO
Quote ID: 1586, Asset Name: Ark, Asset Symbol: ARK
Quote ID: 1588, Asset Name: Tokes, Asset Symbol: TKS
Quote ID: 1596, Asset Name: Edgeless, Asset Symbol: EDG
Quote ID: 1609, Asset Name: Asch, Asset Symbol: XAS
Quote ID: 1619, Asset Name: Skycoin, Asset Symbol: SKY
Quote ID: 1623, Asset Name: BlazerCoin, Asset Symbol: BLAZR
Quote ID: 1624, Asset Name: Atmos, Asset Symbol: ATMOS
Quote ID: 1629, Asset Name: Zennies, Asset Symbol: ZENI
Quote ID: 1630, Asset Name: Coinonat, Asset Symbol: CXT
Quote ID: 1632, Asset Name: Concoin, Asset Symbol: CONX
Quote ID: 1636, Asset Name: XTRABYTES, Asset Symbol: XBY
Quote ID: 1637, Asset Name: iExec RLC, Asset Symbol: RLC
Quote ID: 1638, Asset Name: WeTrust, Asset Symbol: TRST
Quote ID: 1651, Asset Name: SpeedCash, Asset Symbol: SCS
Quote ID: 1654, Asset Name: BitCore, Asset Symbol: BTX
Quote ID: 1657, Asset Name: Bitvolt, Asset Symbol: VOLT
Quote ID: 1658, Asset Name: Lunyr, Asset Symbol: LUN
Quote ID: 1659, Asset Name: Gnosis, Asset Symbol: GNO
Quote ID: 1660, Asset Name: Monolith, Asset Symbol: TKN
Quote ID: 1669, Asset Name: Humaniq, Asset Symbol: HMQ
Quote ID: 1674, Asset Name: Cannation, Asset Symbol: CNNC
Quote ID: 1678, Asset Name: InsaneCoin, Asset Symbol: INSN
Quote ID: 1680, Asset Name: Aragon, Asset Symbol: ANT
Quote ID: 1681, Asset Name: PRIZM, Asset Symbol: PZM
Quote ID: 1684, Asset Name: Qtum, Asset Symbol: QTUM
Quote ID: 1693, Asset Name: Theresa May Coin, Asset Symbol: MAY
Quote ID: 1694, Asset Name: Sumokoin, Asset Symbol: SUMO
Quote ID: 1697, Asset Name: Basic Attention Token, Asset Symbol: BAT
Quote ID: 1698, Asset Name: Horizen, Asset Symbol: ZEN
Quote ID: 1700, Asset Name: Æternity, Asset Symbol: AE
Quote ID: 1701, Asset Name: ScooterCoin, Asset Symbol: SCOOT
Quote ID: 1703, Asset Name: Metaverse ETP, Asset Symbol: ETP
Quote ID: 1706, Asset Name: Aidos Kuneen, Asset Symbol: ADK
Quote ID: 1708, Asset Name: Patientory, Asset Symbol: PTOY
Quote ID: 1710, Asset Name: Veritaseum, Asset Symbol: VERI
Quote ID: 1712, Asset Name: Quantum Resistant Ledger, Asset Symbol: QRL
Quote ID: 1720, Asset Name: IOTA, Asset Symbol: MIOTA
Quote ID: 1721, Asset Name: Mysterium, Asset Symbol: MYST
Quote ID: 1722, Asset Name: More Coin, Asset Symbol: MORE
Quote ID: 1727, Asset Name: Bancor, Asset Symbol: BNT
Quote ID: 1731, Asset Name: GlobalToken, Asset Symbol: GLT
Quote ID: 1732, Asset Name: Numeraire, Asset Symbol: NMR
Quote ID: 1736, Asset Name: Unify, Asset Symbol: UNIFY
Quote ID: 1745, Asset Name: Dinastycoin, Asset Symbol: DCY
Quote ID: 1747, Asset Name: Onix, Asset Symbol: ONX
Quote ID: 1750, Asset Name: GXChain, Asset Symbol: GXC
Quote ID: 1757, Asset Name: FUNToken, Asset Symbol: FUN
